日期,品类,预测批发价,损耗率,正常销售价格弹性,价格关系可靠,R,latent维度,建议加成率,建议售价,建议补货量,预测需求量,预计满足量,预计满足率,预计利润
2023-07-01,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,85,0.7699999424231762,5.8270913307903776,223.60083657820945,237.65217920333941,180.7105243618101,0.7603991891325809,316.891001774823
2023-07-02,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,85,0.7699999420032237,5.827091329407834,216.74242478255354,233.62043376525418,174.3688115780945,0.7463765423588901,302.5161281739616
2023-07-03,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,85,0.767909068091782,5.820207875374237,158.37925784180825,172.22248508870732,127.08877436504076,0.7379336925697051,218.27606262430422
2023-07-04,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,85,0.7675159320496016,5.818913615658006,156.22166791346027,165.25003094513778,125.50077181898114,0.7594598990462325,215.97421974801583
2023-07-05,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,85,0.7679477517415337,5.8203352274462405,159.2429639767311,167.63309918801383,127.83656498028974,0.7625973963346635,219.801196373297
2023-07-06,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,85,0.7674002141625478,5.8185326559300945,155.0983108326541,163.41820598783082,124.83522424726203,0.7639003469206979,215.75214986918414
2023-07-07,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,85,0.7693167321268858,5.824842105409516,167.85854785777556,177.74675287937308,135.04251171177293,0.7597467156174652,233.9871156746562
2023-07-01,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,85,0.6345019999338678,13.076602231484802,50.57996032983434,65.25934587121682,39.72423545355243,0.6087133562745859,114.80020228146508
2023-07-02,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,85,0.6338832923228883,13.071652348690716,50.05028547347921,61.719035961832695,39.06841613314573,0.6330043158371074,110.26851863649392
2023-07-03,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,85,0.6236585853110084,12.98985102539271,34.15732540634121,42.9340571362357,26.686721614338268,0.6215746517888493,73.38568397742021
2023-07-04,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,85,0.6235344350925922,12.988857779117547,34.838213899832915,43.732829161260845,27.397934618664923,0.6264843858520455,77.14966989840165
2023-07-05,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,85,0.6235146492275276,12.988699485100614,34.6901363988155,43.1426865508212,27.05365411115094,0.6270739324330739,73.85825003635226
2023-07-06,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,85,0.6231334072589548,12.98564941261543,33.916611356652204,42.847596978181585,26.52390323144032,0.6190289561616851,73.08505300089783
2023-07-07,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,85,0.6271044000564078,13.01741877923504,39.51307826052835,48.44767664557214,30.64691629092624,0.6325776262735853,82.82494576936801
2023-07-01,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,85,0.5530729647408492,19.511493262098107,21.44521272553203,31.727985825738116,17.356712484162568,0.5470474104310333,69.23589029326851
2023-07-02,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,85,0.5505920831661546,19.48032556732287,19.20246344181985,29.981813048817294,15.526812127092214,0.5178743560908404,61.2238692363178
2023-07-03,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,85,0.5436127338204135,19.39264293371526,12.567162798633596,18.272360005142435,10.178135371138538,0.557023579235199,39.49775608249822
2023-07-04,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,85,0.544050183830424,19.3981386851169,13.46751087685438,19.258423057670793,10.890404117483866,0.565487843156822,42.05916985514446
2023-07-05,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,85,0.542913887232485,19.383863217113934,12.472266993640448,18.400074091274206,10.048010833308354,0.5460853463668052,38.07826921224449
2023-07-06,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,85,0.5426294682511239,19.380290017937572,12.115631773586065,17.514796104641235,9.83885010414397,0.5617450551729106,38.46923290813474
2023-07-07,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,85,0.5457875260792566,19.41996518158657,14.894812036200559,22.92322872666415,12.008221282418273,0.5238451103727106,46.073436815593034
2023-07-01,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,85,0.5746668014388212,7.227917217247906,19.48685509223324,24.463466890363314,16.98022075511315,0.6941052480914726,33.28453212286065
