销售日期,品类,日销售量,日销售额,日成本额,正销售量,折扣销售量,交易条数,单品数,日平均售价,日平均进价,加成率,折扣销量占比,星期,月份,时间趋势
2020-07-01,水生根茎类,4.85,70.2838,44.78568,4.85,0.0,15,2,14.491505154639176,9.234160824742268,0.5693364486148251,0.0,3,7,0.0
2020-07-01,花叶类,205.402,1503.7896,991.68855,205.402,13.685,445,16,7.321202325196444,4.828037458252598,0.516393024806024,0.06662544668503716,3,7,0.0
2020-07-01,花菜类,46.64,592.53,391.812,47.076,0.0,103,2,12.704331046312177,8.400771869639794,0.5122814002633915,0.0,3,7,0.0
2020-07-01,茄类,35.374,176.818,144.72834999999998,35.374,0.0,60,2,4.998529993780743,4.09137643466953,0.2217233182026883,0.0,3,7,0.0
2020-07-01,辣椒类,76.715,759.9902,408.05555000000004,76.715,0.0,259,9,9.9066701427361,5.319110343479111,0.8624674998293735,0.0,3,7,0.0
2020-07-01,食用菌,35.365,368.602,229.94141,35.365,0.195,120,5,10.422790894952636,6.501948536688816,0.6030257446886145,0.0055139261982185776,3,7,0.0
2020-07-02,水生根茎类,4.6,53.1208,32.63124,4.6,0.0,14,2,11.548000000000002,7.093747826086957,0.6279123931545356,0.0,4,7,0.0027378507871321013
2020-07-02,花叶类,198.362,1409.6647,825.6967500000001,198.362,19.362000000000002,423,16,7.106525947510108,4.162575241225638,0.7072426408363603,0.09760942115929463,4,7,0.0027378507871321013
2020-07-02,花菜类,43.943,546.032,344.33378,43.943,0.0,95,2,12.4259153903921,7.835918803905059,0.5857636738399585,0.0,4,7,0.0027378507871321013
2020-07-02,茄类,32.199,172.092,79.62686000000001,32.199,0.0,56,2,5.344638032237027,2.4729606509518933,1.1612305194503465,0.0,4,7,0.0027378507871321013
2020-07-02,辣椒类,66.064,669.7044,376.85583,66.064,0.0,226,10,10.137206345362074,5.7044052736740145,0.7770838253981633,0.0,4,7,0.0027378507871321013
2020-07-02,食用菌,48.51,605.929,354.74897000000004,48.51,0.0,160,5,12.490806019377448,7.31290393733251,0.7080500614279441,0.0,4,7,0.0027378507871321013
2020-07-03,水生根茎类,9.572000000000001,76.693,53.69892,9.572000000000001,5.162,30,1,8.012223150856665,5.609999999999999,0.42820377020617917,0.5392812369410781,5,7,0.0054757015742642025
2020-07-03,花叶类,190.779,1399.5065,837.76756,191.779,6.832,406,16,7.335747121014367,4.391298623014063,0.6705188489274996,0.0356243384312151,5,7,0.0054757015742642025
2020-07-03,花菜类,42.076,495.368,312.45916,42.076,0.0,96,2,11.773172354786576,7.426066165985359,0.5853847907675358,0.0,5,7,0.0054757015742642025
2020-07-03,茄类,35.896,196.243,142.29532,35.896,0.0,57,2,5.466987965232895,3.964099621127702,0.3791247667175561,0.0,5,7,0.0054757015742642025
2020-07-03,辣椒类,64.253,670.6646,401.82115,64.253,0.0,227,10,10.43787216161113,6.253733677804927,0.6690624672195578,0.0,5,7,0.0054757015742642025
2020-07-03,食用菌,42.442,546.295,312.27863,42.442,0.0,149,5,12.871565901701144,7.357773667593422,0.7493832350936083,0.0,5,7,0.0054757015742642025
2020-07-04,水生根茎类,5.439,118.7532,76.22823,5.439,0.0,16,2,21.83364589078875,14.01511858797573,0.557863799277512,0.0,6,7,0.008213552361396304
2020-07-04,花叶类,236.587,1841.4,1137.29509,236.587,2.0140000000000002,526,13,7.783183353269623,4.807090372674746,0.6191048534290253,0.008512724705922136,6,7,0.008213552361396304
2020-07-04,花菜类,55.662,702.186,457.40441999999996,55.662,0.0,126,2,12.615177320254393,8.217534763393338,0.5351535081361916,0.0,6,7,0.008213552361396304
2020-07-04,茄类,57.067,327.403,177.76086,57.067,0.0,99,2,5.7371685913049575,3.114950146319239,0.8418171469242441,0.0,6,7,0.008213552361396304
2020-07-04,辣椒类,81.282,826.4166,464.50121,81.282,0.444,293,10,10.167276887871854,5.714687261632342,0.7791484332193666,0.00546246401417288,6,7,0.008213552361396304
2020-07-04,食用菌,47.262,578.7036,346.67418,47.262,0.438,171,5,12.244585502094708,7.335156785578265,0.6693011288005357,0.009267487622191189,6,7,0.008213552361396304
2020-07-05,水生根茎类,4.019,40.19,21.782980000000002,4.019,0.0,12,1,10.0,5.42,0.845018450184502,0.0,7,7,0.010951403148528405
2020-07-05,花叶类,223.899,1573.1793,956.80848,223.899,4.253,508,13,7.026289978963729,4.273393271073118,0.6441945623224408,0.01899517193020067,7,7,0.010951403148528405
2020-07-05,花菜类,55.474,697.982,465.82392000000004,55.474,0.0,106,2,12.582146591195876,8.397157587338214,0.4983816202482687,0.0,7,7,0.010951403148528405
2020-07-05,茄类,61.816,411.3631,248.61746,61.816,0.874,111,3,6.654637957810275,4.021894978646305,0.6546026172095876,0.014138734308269703,7,7,0.010951403148528405
2020-07-05,辣椒类,98.496,1016.2366,595.02793,98.496,0.465,352,10,10.317541829109812,6.041138015756985,0.7078805023488561,0.004721003898635478,7,7,0.010951403148528405
2020-07-05,食用菌,73.213,732.6238,430.89539,73.213,0.0,207,5,10.006744703809433,5.885503803969241,0.7002358739553931,0.0,7,7,0.010951403148528405
2020-07-06,水生根茎类,3.089,30.7757,16.835050000000003,3.089,0.381,11,1,9.962997733894465,5.450000000000001,0.8280729786962318,0.12334088701845258,1,7,0.013689253935660506
2020-07-06,花叶类,195.74,1511.5968,952.11855,195.74,12.301,419,14,7.722472667824666,4.8642002145703485,0.587614063395782,0.06284356799836517,1,7,0.013689253935660506
2020-07-06,花菜类,42.721000000000004,506.3038,334.04152,42.721000000000004,0.444,86,2,11.851403291121462,7.819140937712131,0.5156912230551463,0.010393015144776573,1,7,0.013689253935660506
2020-07-06,茄类,30.727,201.412,102.02501,30.727,0.0,57,3,6.554886581833567,3.3203700328701142,0.9741433987607548,0.0,1,7,0.013689253935660506
