销售日期,分类名称,日销量,日销售额,日成本,打折销量,加成率,打折占比,月份,星期,lnQ,lnR,lnP,lnC
2020-07-01,水生根茎类,4.85,70.2838,44.78568,0.0,0.5693364486148251,0.0,7,3,1.5789787049493917,0.4506528858266069,2.673562626344345,2.222909740517738
2020-07-01,花叶类,205.402,1503.7896,991.68855,13.684999999999999,0.5163930248060242,0.06662544668503714,7,3,5.324969034545397,0.41633450481170575,1.9907745665613419,1.5744400617496364
2020-07-01,花菜类,47.076,598.634,395.83628000000004,0.0,0.5123272682332198,0.0,7,3,3.8517633170154157,0.4136497015802091,2.542887075988298,2.1292373744080892
2020-07-01,茄类,35.374,176.818,144.72834999999998,0.0,0.2217233182026883,0.0,7,3,3.565977087012602,0.20026241793042074,1.6091438679634105,1.4088814500329898
2020-07-01,辣椒类,76.715,759.9902,408.05555000000004,0.0,0.8624674998293735,0.0,7,3,4.340097256397169,0.6219022213632878,2.293208282063228,1.67130606069994
2020-07-01,食用菌,35.365,368.602,229.94141,0.195,0.6030257446886143,0.0055139261982185776,7,3,3.5657226304879535,0.4718929338157394,2.343994840669023,1.8721019068532836
2020-07-02,水生根茎类,4.6,53.1208,32.63124,0.0,0.6279123931545356,0.0,7,4,1.5260563034950492,0.48729845357376184,2.446512261800689,1.959213808226927
2020-07-02,花叶类,198.362,1409.6647,825.6967500000001,19.362,0.7072426408363601,0.09760942115929462,7,4,5.290093644248063,0.5348795783131539,1.9610135094264711,1.426133931113317
2020-07-02,花菜类,43.943,546.032,344.33378,0.0,0.5857636738399585,0.0,7,4,3.7828933395461837,0.4610661044427977,2.519784242539944,2.0587181380971464
2020-07-02,茄类,32.199,172.092,79.62686000000001,0.0,1.161230519450346,0.0,7,4,3.471935396167497,0.7706777444179316,1.6760938213675787,0.905416076949647
2020-07-02,辣椒类,66.064,669.7044,376.85583,0.0,0.7770838253981633,0.0,7,4,4.190623969143735,0.574973720484333,2.3162124518567047,1.7412387313723718
2020-07-02,食用菌,48.51,605.929,354.74897000000004,0.0,0.7080500614279441,0.0,7,4,3.8817699622571253,0.5353524049063717,2.5249928552320475,1.989640450325676
2020-07-03,水生根茎类,9.572000000000001,76.693,53.69892,5.162000000000001,0.42820377020617917,0.5392812369410782,7,5,2.258842170046127,0.35641754996006964,2.0809682694946745,1.7245507195346048
2020-07-03,花叶类,191.779,1406.4065,841.81756,6.832000000000001,0.6706785018834724,0.035624338431215104,7,5,5.256343667403879,0.5132298324687957,1.992449481245591,1.4792196487767952
2020-07-03,花菜类,42.076,495.368,312.45916,0.0,0.5853847907675358,0.0,7,5,3.739477506877028,0.46082714806566544,2.465823413824673,2.0049962657590075
2020-07-03,茄类,35.896,196.243,142.29532,0.0,0.3791247667175561,0.0,7,5,3.5806258686736823,0.3214490709458171,1.6987278185628802,1.3772787476170631
2020-07-03,辣椒类,64.253,670.6646,401.82115,0.0,0.6690624672195578,0.0,7,5,4.162828415292267,0.5122620719119194,2.3454407457435704,1.8331786738316511
2020-07-03,食用菌,42.442,546.295,312.27863,0.0,0.7493832350936083,0.0,7,5,3.748138437988858,0.5592632887255089,2.5550206848906076,1.9957573961650987
2020-07-04,水生根茎类,5.439,118.7532,76.22823,0.0,0.557863799277512,0.0,7,6,1.6935952204408238,0.44331552339452285,3.083452169479274,2.6401366460847515
2020-07-04,花叶类,236.587,1841.4,1137.29509,2.0140000000000002,0.6191048534290251,0.008512724705922136,7,6,5.466316004979807,0.481873436915258,2.0519654258739393,1.570091988958681
2020-07-04,花菜类,55.662,702.186,457.40441999999996,0.0,0.5351535081361918,0.0,7,6,4.019297687899189,0.42863038133941445,2.5349006382966017,2.1062702569571874
2020-07-04,茄类,57.067,327.403,177.76086,0.0,0.8418171469242441,0.0,7,6,4.044226016143968,0.6107526641348759,1.7469658118543232,1.1362131477194473
2020-07-04,辣椒类,81.282,826.4166,464.50121,0.444,0.7791484332193666,0.00546246401417288,7,6,4.397924589826654,0.576134841526503,2.31917441490191,1.743039573375407
2020-07-04,食用菌,47.262,578.7036,346.67418,0.43800000000000006,0.6693011288005357,0.00926748762219119,7,6,3.8557065899492424,0.5124050530908832,2.505083839451015,1.9926787863601316
2020-07-05,水生根茎类,4.019,40.19,21.782980000000002,0.0,0.8450184501845015,0.0,7,7,1.391033115467064,0.6124892775424906,2.302585092994046,1.6900958154515549
2020-07-05,花叶类,223.899,1573.1793,956.80848,4.253,0.644194562322441,0.01899517193020067,7,7,5.411195057315147,0.4972506365430054,1.9496588252612055,1.4524081887182003
2020-07-05,花菜类,55.474,697.982,465.82392000000004,0.0,0.4983816202482687,0.0,7,7,4.015914442518285,0.40438560582068783,2.532278871945956,2.1278932661252683
2020-07-05,茄类,61.816,411.3631,248.61746,0.874,0.6546026172095878,0.014138734308269703,7,7,4.124162230631283,0.5035608695505186,1.8953140488361198,1.3917531792856013
2020-07-05,辣椒类,98.496,1016.2366,595.02793,0.465,0.7078805023488561,0.004721003898635478,7,7,4.590015938216414,0.5352531294228327,2.3338455368268165,1.7985924074039839
2020-07-05,食用菌,73.213,732.6238,430.89539,0.0,0.7002358739553931,0.0,7,7,4.293373000827445,0.53076699082289,2.3032593360220646,1.7724923451991743
2020-07-06,水生根茎类,3.089,30.7757,16.835050000000003,0.381,0.8280729786962318,0.12334088701845258,7,1,1.1278474139364447,0.6032623949354141,2.298878003610567,1.6956156086751528
2020-07-06,花叶类,195.74,1511.5968,952.11855,12.300999999999998,0.587614063395782,0.06284356799836517,7,1,5.276787247997674,0.46223230016152617,2.0441346065132606,1.5819023063517343
2020-07-06,花菜类,42.721000000000004,506.3038,334.04152,0.444,0.515691223055146,0.010393015144776573,7,1,3.7546906026176714,0.4158715877513333,2.472446281761589,2.0565746940102554
2020-07-06,茄类,30.727,201.412,102.02501,0.0,0.9741433987607551,0.0,7,1,3.425141746905614,0.6801345821219765,1.8802108145234198,1.2000762324014433
2020-07-06,辣椒类,58.682,645.2908,365.2896,0.0,0.7665184007428625,0.0,7,1,4.072133035856881,0.5690106042603278,2.397568032048523,1.8285574277881953
2020-07-06,食用菌,40.578,487.603,291.28319,1.0,0.6739826283830523,0.024643895707033365,7,1,3.703226047820858,0.5152055947034343,2.4862755023514165,1.9710699076479825
2020-07-07,水生根茎类,3.117,31.17,17.01882,0.0,0.8315018315018314,0.0,7,2,1.1368710007852,0.605136303237232,2.302585092994046,1.6974487897568138
2020-07-07,花叶类,175.052,1348.709,839.05841,15.177,0.6074077608017778,0.08669995201425862,7,2,5.165083072642461,0.4746227949556465,2.0418200449506934,1.5671972499950466
2020-07-07,花菜类,45.749,526.991,334.62056,0.0,0.5748912738655387,0.0,7,2,3.823169933559145,0.4541862374284214,2.444013537037528,1.9898272996091069
2020-07-07,茄类,32.112,186.848,105.2496,0.0,0.7752846566637783,0.0,7,2,3.4692297920539823,0.5739607800209175,1.7610656600471448,1.1871048800262272
2020-07-07,辣椒类,42.213,531.0704,287.56131,0.0,0.8468075555783217,0.0,7,2,3.742728230474228,0.6134585028153416,2.532166362017419,1.918707859202077
2020-07-07,食用菌,52.56,622.3339,366.0731,1.441,0.700026306221353,0.02741628614916286,7,2,3.961955374176355,0.5306437251903001,2.4715213912485305,1.9408776660582303
2020-07-08,水生根茎类,10.605,155.484,87.09302,0.0,0.7852636181406962,0.0,7,3,2.361325588016646,0.579566089560095,2.6852172444180282,2.1056511548579335
2020-07-08,花叶类,158.57,1251.845,768.05119,15.216000000000001,0.6298978717811765,0.095957621239831,7,3,5.0661961362014765,0.4885173575067711,2.066177605877545,1.5776602483707738
2020-07-08,花菜类,45.433,532.102,333.56052999999997,0.0,0.5952187148761277,0.0,7,3,3.8162387132503097,0.467010852150178,2.4605964870369252,1.9935856348867471
2020-07-08,茄类,39.67,232.2832,140.22252,0.576,0.6565327737655833,0.014519788253087975,7,3,3.6805952345262387,0.5047267275096239,1.7673620823593816,1.2626353548497578
2020-07-08,辣椒类,65.88,768.061,425.2001,2.6470000000000002,0.8063518799736877,0.04017911353976929,7,3,4.1878349053094395,0.5913092754256335,2.4560342517674023,1.8647249763417688
2020-07-08,食用菌,43.968,565.4192,334.49906,0.0,0.6903461552328429,0.0,7,3,3.783462096599884,0.5249333335426505,2.5541053063426764,2.0291719728000257
2020-07-09,水生根茎类,2.106,21.060000000000002,11.51982,0.0,0.8281535648994518,0.0,7,4,0.7447904137117837,0.603306476560156,2.302585092994046,1.6992786164338898
