销售日期,品类,销量加权售价,销量加权进价,销量加权加成率,固定篮子价格指数,固定篮子成本指数,固定篮子加成率,固定篮子覆盖率,权重窗口天数,权重收缩系数,权重历史样本数
2020-07-01,水生根茎类,14.491505154639176,9.234160824742268,0.5693364486148251,,,,0.0,180,0.0,0
2020-07-02,水生根茎类,11.548000000000002,7.093747826086957,0.6279123931545356,14.1599175257732,9.34416082474227,0.5153760504934115,1.0,180,0.047619047619047616,2
2020-07-03,水生根茎类,8.012223150856665,5.609999999999999,0.42820377020617917,9.999999999999998,5.61,0.7825311942958997,0.8953439153439153,180,0.047619047619047616,2
2020-07-04,水生根茎类,21.83364589078875,14.01511858797573,0.557863799277512,11.969437229437231,6.842123376623376,0.7493746561676606,1.0,180,0.047619047619047616,2
2020-07-05,水生根茎类,10.0,5.42,0.845018450184502,10.0,5.42,0.845018450184502,0.8279185450023318,180,0.047619047619047616,2
2020-07-06,水生根茎类,9.962997733894465,5.450000000000001,0.8280729786962318,10.0,5.45,0.8348623853211008,0.8575778368642252,180,0.047619047619047616,2
2020-07-07,水生根茎类,10.0,5.460000000000001,0.8315018315018312,10.0,5.460000000000001,0.8315018315018312,0.8723968339352954,180,0.047619047619047616,2
2020-07-08,水生根茎类,14.661386138613862,8.212448844884488,0.7852636181406962,10.0,5.47,0.8281535648994516,0.886044676251587,180,0.047619047619047616,2
2020-07-09,水生根茎类,10.000000000000002,5.47,0.828153564899452,10.000000000000002,5.47,0.828153564899452,0.7091677568682702,180,0.06976744186046512,3
2020-07-10,水生根茎类,14.26375623268698,7.984265927977838,0.7864831108273891,11.282900371110475,6.201187553525549,0.8194741368039788,0.9206527452573232,180,0.06976744186046512,3
2020-07-11,水生根茎类,14.798756720430106,8.411317204301074,0.7593863554287139,11.831804539882489,6.506029716363022,0.8185906083590198,0.9344129554655871,180,0.06976744186046512,3
2020-07-12,水生根茎类,17.719051021866512,11.493803773045592,0.5416176725950295,13.240430040833205,7.737540359401114,0.7111936643724357,1.0,180,0.06976744186046512,3
2020-07-13,水生根茎类,14.140922016372253,8.038965962947005,0.7590473801668307,12.64906602552247,6.989439615313483,0.8097396532061103,0.9181784733818242,180,0.06976744186046512,3
2020-07-14,水生根茎类,15.078994115687799,7.594595314755192,0.9854901401252429,12.919442745859143,6.582943663095207,0.9625631643009691,0.9286243333991705,180,0.06976744186046512,3
2020-07-15,水生根茎类,14.792215276421176,7.510435631959368,0.9695548968525138,13.143585832101826,6.6860494827668395,0.9658223987093064,0.9355335042925632,180,0.06976744186046512,3
2020-07-16,水生根茎类,14.331962304033821,7.303295754800072,0.9623965378389856,13.33620606695679,6.7835341039102675,0.9659672764480289,0.941775338603293,180,0.06976744186046512,3
2020-07-17,水生根茎类,14.367856809918896,7.298178428265125,0.968690811158248,13.45682988448113,6.906436850326886,0.9484475390293636,0.9471905596960397,180,0.06976744186046512,3
2020-07-18,水生根茎类,14.519091956229602,7.548891341908236,0.9233409647355466,13.542229951150455,6.955447729238943,0.9469961501144413,0.9519028407436676,180,0.06976744186046512,3
2020-07-19,水生根茎类,14.332829917295935,7.432354368932038,0.9284373706948843,13.631707417300184,6.985581343743578,0.9514062962718206,0.9546356810532179,180,0.06976744186046512,3
2020-07-20,水生根茎类,14.060766652702135,7.34954335986594,0.9131483364646225,13.695147021458434,7.016596062488931,0.9518220657839156,0.9573790551448095,180,0.06976744186046512,3
2020-07-21,水生根茎类,16.72809165097301,10.006125235404896,0.671785157333793,14.22178012497926,7.5791086932478,0.8764449357547004,1.0000000000000002,180,0.06976744186046512,3
2020-07-22,水生根茎类,16.374334841628958,8.665694117647059,0.8895583688193898,15.305504487249294,7.743147159997181,0.976651634147021,1.0,180,0.06976744186046512,3
2020-07-23,水生根茎类,6.821215109971397,3.5717480356379654,0.909769401959797,14.553930960731767,7.454108937676243,0.9524709234084303,0.9457642016037758,180,0.06976744186046512,3
