售价,补货量,加成率,平均需求,平均正常销售量,平均折扣销售量,平均剩余量,平均利润,利润P10,利润P50,利润P90,亏损概率,缺货概率,剩余概率,销售总量,下界加成率,上界加成率,历史支持等级,日期,品类,是否在历史外圈,加成分位位置,绝对售价分位位置,最近历史距离
14.42,11.5,0.34443464306555605,42.574116771978424,9.46454916519746,0.0,0.4670612848025413,13.133271639318622,-11.273988047659747,20.160145460317608,25.042479716788066,0.12383333333333334,0.8596666666666667,0.14033333333333334,9.46454916519746,0.35,0.65,强,2023-07-01,水生根茎类,否,0.18430151570148676,0.530770622348549,0.4134256864984592
14.43,11.5,0.3453669833173352,42.574116771978424,9.46454916519746,0.0,0.4670612848025413,13.227917130970596,-11.196894496752385,20.2594479603176,25.144921716788062,0.12366666666666666,0.8596666666666667,0.14033333333333334,9.46454916519746,0.35,0.65,强,2023-07-01,水生根茎类,否,0.18565084810732155,0.5313788470638655,0.41078566920738807
14.44,11.5,0.3462993235691143,42.574116771978424,9.46454916519746,0.0,0.4670612848025413,13.322562622622568,-11.119800945845038,20.358750460317594,25.24736371678806,0.1235,0.8596666666666667,0.14033333333333334,9.46454916519746,0.35,0.65,强,2023-07-01,水生根茎类,否,0.18700018051315634,0.5319870717791821,0.40814565191631696
14.45,11.5,0.34723166382089343,42.574116771978424,9.46454916519746,0.0,0.4670612848025413,13.41720811427455,-11.04270739493769,20.458052960317616,25.349805716788055,0.12333333333333334,0.8596666666666667,0.14033333333333334,9.46454916519746,0.35,0.65,强,2023-07-01,水生根茎类,否,0.18834951291899144,0.5325952964944987,0.40550563462524586
14.46,11.5,0.3481640040726728,42.574116771978424,9.46454916519746,0.0,0.4670612848025413,13.511853605926529,-10.965613844030326,20.55735546031761,25.45224771678808,0.12316666666666666,0.8596666666666667,0.14033333333333334,9.46454916519746,0.35,0.65,强,2023-07-01,水生根茎类,否,0.18969884532482656,0.5332035212098153,0.40286561733417425
14.47,11.6,0.3490963443244519,42.574116771978424,9.538695918675263,0.0,0.4792763613247362,13.606832817595143,-11.953241062306125,20.83169531679723,25.77690440997752,0.12433333333333334,0.8578333333333333,0.14216666666666666,9.538695918675263,0.35,0.65,强,2023-07-01,水生根茎类,否,0.19104817773066135,0.5338117459251318,0.40022560004310315
14.48,11.6,0.35002868457623104,42.574116771978424,9.538695918675263,0.0,0.4792763613247362,13.702219776781883,-11.876147511398777,20.931861316797203,25.880237209977523,0.12433333333333334,0.8578333333333333,0.14216666666666666,9.538695918675263,0.35,0.65,强,2023-07-01,水生根茎类,否,0.19239751013649614,0.5344199706404483,0.39758558275203204
14.49,11.6,0.35096102482801017,42.574116771978424,9.538695918675263,0.0,0.4792763613247362,13.79760673596863,-11.799053960491428,21.032027316797205,25.983570009977498,0.12433333333333334,0.8578333333333333,0.14216666666666666,9.538695918675263,0.35,0.65,强,2023-07-01,水生根茎类,否,0.19374684254233127,0.5350281953557648,0.39494556546096093
14.5,11.7,0.3518933650797893,42.574116771978424,9.612683134731052,0.0,0.4916509752689458,13.893238525157134,-12.79536582732049,21.302405287040813,26.306443835781973,0.12483333333333334,0.8555,0.1445,9.612683134731052,0.35,0.65,强,2023-07-01,水生根茎类,否,0.19509617494816606,0.5356364200710814,0.39230554816988983
14.51,11.7,0.35282570533156843,42.574116771978424,9.612683134731052,0.0,0.4916509752689458,13.989365356504447,-12.716494264753395,21.403434787040823,26.410667435781985,0.12483333333333334,0.8555,0.1445,9.612683134731052,0.35,0.65,强,2023-07-01,水生根茎类,否,0.19644550735400085,0.536244644786398,0.3896655308788187
