销售日期,品类,正常销售量,正常销售额,正常销售成本额,正常交易条数,正常单品数,最后正常销售时间,正常销售售价,正常销售进价,正常销售加成率,星期,月份,折扣销量占比,折扣销售额占比,折扣晚于19点占比
2020-07-01,水生根茎类,4.85,70.2838,44.78568,15,2,2026-08-27 19:39:26.460,14.491505154639176,9.234160824742268,0.5693364486148251,3,7,0.0,0.0,
2020-07-01,花叶类,191.717,1446.6496,941.89255,413,16,2026-08-27 21:23:24.264,7.545755462478549,4.912931821382559,0.5358966370420912,3,7,0.06662544668503716,0.03799733686148647,0.5
2020-07-01,花菜类,47.076,598.634,395.83628000000004,102,2,2026-08-27 20:54:35.317,12.716331039170703,8.408451865069251,0.5123272682332198,3,7,0.0,0.0,
2020-07-01,茄类,35.374,176.818,144.72834999999998,60,2,2026-08-27 21:56:27.233,4.998529993780743,4.09137643466953,0.2217233182026883,3,7,0.0,0.0,
2020-07-01,辣椒类,76.715,759.9902,408.05555000000004,259,9,2026-08-27 21:45:47.498,9.9066701427361,5.319110343479111,0.8624674998293735,3,7,0.0,0.0,
2020-07-01,食用菌,35.17,365.482,227.83541,119,5,2026-08-27 21:00:16.030,10.39186806937731,6.4781179982940005,0.6041492408928006,3,7,0.0055139261982185776,0.00846441419200113,0.0
2020-07-02,水生根茎类,4.6,53.1208,32.63124,14,2,2026-08-27 20:13:51.983,11.548000000000002,7.093747826086957,0.6279123931545356,4,7,0.0,0.0,
2020-07-02,花叶类,179.0,1317.6876,752.19713,389,16,2026-08-27 21:30:52.733,7.361383240223463,4.202218603351955,0.7517849343562371,4,7,0.09760942115929463,0.06524750176407197,0.7058823529411765
2020-07-02,花菜类,43.943,546.032,344.33378,95,2,2026-08-27 21:05:58.873,12.4259153903921,7.835918803905059,0.5857636738399585,4,7,0.0,0.0,
2020-07-02,茄类,32.199,172.092,79.62686000000001,56,2,2026-08-27 21:48:30.405,5.344638032237027,2.4729606509518933,1.1612305194503465,4,7,0.0,0.0,
2020-07-02,辣椒类,66.064,669.7044,376.85583,226,10,2026-08-27 21:33:40.212,10.137206345362074,5.7044052736740145,0.7770838253981633,4,7,0.0,0.0,
2020-07-02,食用菌,48.51,605.929,354.74897000000004,160,5,2026-08-27 21:10:11.106,12.490806019377448,7.31290393733251,0.7080500614279441,4,7,0.0,0.0,
2020-07-03,水生根茎类,4.41,44.1,24.7401,15,1,2026-08-27 19:08:46.633,10.0,5.61,0.7825311942959001,5,7,0.5392812369410781,0.42498011552553694,1.0
2020-07-03,花叶类,184.947,1373.2026,814.47401,392,16,2026-08-27 21:34:36.675,7.424843874190985,4.40382385223875,0.685999286828072,5,7,0.0356243384312151,0.023609034798971702,0.8461538461538461
2020-07-03,花菜类,42.076,495.368,312.45916,96,2,2026-08-27 20:45:54.561,11.773172354786576,7.426066165985359,0.5853847907675358,5,7,0.0,0.0,
