销售日期,品类,正销售量,退货量,净销售量,正销售额,退货金额,净销售额,正销售成本额,退货成本额,净销售成本额,折扣销售量,折扣销售额,正常销售量,正常销售额,正常销售成本额,交易条数,单品数,最早扫码时间,最晚扫码时间,销量加权售价,销量加权进价,正常销售售价,正常销售进价,折扣销量占比,折扣销售额占比,正常销售加成率,星期,月份,折扣交易条数,折扣单品数,折扣同日正常价匹配条数,折扣价比中位数,折扣价比加权,折扣晚于19点占比,折扣同日正常价匹配率,正常销售量_正常面板,正常销售额_正常面板,正常销售成本额_正常面板,正常交易条数,正常单品数,正常销售售价_正常面板,正常销售进价_正常面板,正常销售加成率_正常面板,最后正常销售时间,正常销售面板存在
2020-07-01,水生根茎类,4.85,0.0,4.85,70.2838,0.0,70.2838,44.78568,0.0,44.78568,0.0,0.0,4.85,70.2838,44.78568,15,2,2026-08-27 09:22:21.264,2026-08-27 19:39:26.460,14.491505154639176,9.234160824742268,14.491505154639176,9.234160824742268,0.0,0.0,0.5693364486148251,3,7,0,0,0,,,,,4.85,70.2838,44.78568,15.0,2.0,14.491505154639176,9.234160824742268,0.5693364486148251,2026-08-27 19:39:26.460,是
2020-07-01,花叶类,205.402,0.0,205.402,1503.7896,0.0,1503.7896,991.68855,0.0,991.68855,13.685,57.14,191.717,1446.6496,941.89255,445,16,2026-08-27 09:17:27.295,2026-08-27 21:23:24.264,7.321202325196444,4.828037458252598,7.545755462478549,4.912931821382559,0.06662544668503716,0.03799733686148647,0.5358966370420912,3,7,32,2,32,0.6666666666666666,0.6666666666666666,0.5,1.0,191.717,1446.6496,941.89255,413.0,16.0,7.545755462478549,4.912931821382559,0.5358966370420912,2026-08-27 21:23:24.264,是
2020-07-01,花菜类,47.076,-0.436,46.64,598.634,-6.104,592.53,395.83628000000004,-4.02428,391.812,0.0,0.0,47.076,598.634,395.83628000000004,103,2,2026-08-27 09:33:09.998,2026-08-27 20:54:35.317,12.716331039170703,8.408451865069251,12.716331039170703,8.408451865069251,0.0,0.0,0.5123272682332198,3,7,0,0,0,,,,,47.076,598.634,395.83628000000004,102.0,2.0,12.716331039170703,8.408451865069251,0.5123272682332198,2026-08-27 20:54:35.317,是
2020-07-01,茄类,35.374,0.0,35.374,176.818,0.0,176.818,144.72834999999998,0.0,144.72834999999998,0.0,0.0,35.374,176.818,144.72834999999998,60,2,2026-08-27 10:01:04.530,2026-08-27 21:56:27.233,4.998529993780743,4.09137643466953,4.998529993780743,4.09137643466953,0.0,0.0,0.2217233182026883,3,7,0,0,0,,,,,35.374,176.818,144.72834999999998,60.0,2.0,4.998529993780743,4.09137643466953,0.2217233182026883,2026-08-27 21:56:27.233,是
2020-07-01,辣椒类,76.715,0.0,76.715,759.9902,0.0,759.9902,408.05555000000004,0.0,408.05555000000004,0.0,0.0,76.715,759.9902,408.05555000000004,259,9,2026-08-27 09:15:07.924,2026-08-27 21:45:47.498,9.9066701427361,5.319110343479111,9.9066701427361,5.319110343479111,0.0,0.0,0.8624674998293735,3,7,0,0,0,,,,,76.715,759.9902,408.05555000000004,259.0,9.0,9.9066701427361,5.319110343479111,0.8624674998293735,2026-08-27 21:45:47.498,是
2020-07-01,食用菌,35.365,0.0,35.365,368.602,0.0,368.602,229.94141,0.0,229.94141,0.195,3.12,35.17,365.482,227.83541,120,5,2026-08-27 09:24:21.905,2026-08-27 21:00:16.030,10.422790894952636,6.501948536688816,10.39186806937731,6.4781179982940005,0.0055139261982185776,0.00846441419200113,0.6041492408928006,3,7,1,1,1,0.8888888888888888,0.8888888888888888,0.0,1.0,35.17,365.482,227.83541,119.0,5.0,10.39186806937731,6.4781179982940005,0.6041492408928006,2026-08-27 21:00:16.030,是
2020-07-02,水生根茎类,4.6,0.0,4.6,53.1208,0.0,53.1208,32.63124,0.0,32.63124,0.0,0.0,4.6,53.1208,32.63124,14,2,2026-08-27 09:48:00.902,2026-08-27 20:13:51.983,11.548000000000002,7.093747826086957,11.548000000000002,7.093747826086957,0.0,0.0,0.6279123931545356,4,7,0,0,0,,,,,4.6,53.1208,32.63124,14.0,2.0,11.548000000000002,7.093747826086957,0.6279123931545356,2026-08-27 20:13:51.983,是
2020-07-02,花叶类,198.362,0.0,198.362,1409.6647,0.0,1409.6647,825.6967500000001,0.0,825.6967500000001,19.362000000000002,91.9771,179.0,1317.6876,752.19713,423,16,2026-08-27 09:19:33.358,2026-08-27 21:30:52.733,7.106525947510108,4.162575241225638,7.361383240223463,4.202218603351955,0.09760942115929463,0.06524750176407197,0.7517849343562371,4,7,34,5,34,0.6666666666666666,0.6666666666666666,0.7058823529411765,1.0,179.0,1317.6876,752.19713,389.0,16.0,7.361383240223463,4.202218603351955,0.7517849343562371,2026-08-27 21:30:52.733,是
2020-07-02,花菜类,43.943,0.0,43.943,546.032,0.0,546.032,344.33378,0.0,344.33378,0.0,0.0,43.943,546.032,344.33378,95,2,2026-08-27 09:16:50.811,2026-08-27 21:05:58.873,12.4259153903921,7.835918803905059,12.4259153903921,7.835918803905059,0.0,0.0,0.5857636738399585,4,7,0,0,0,,,,,43.943,546.032,344.33378,95.0,2.0,12.4259153903921,7.835918803905059,0.5857636738399585,2026-08-27 21:05:58.873,是
2020-07-02,茄类,32.199,0.0,32.199,172.092,0.0,172.092,79.62686000000001,0.0,79.62686000000001,0.0,0.0,32.199,172.092,79.62686000000001,56,2,2026-08-27 09:21:08.330,2026-08-27 21:48:30.405,5.344638032237027,2.4729606509518933,5.344638032237027,2.4729606509518933,0.0,0.0,1.1612305194503465,4,7,0,0,0,,,,,32.199,172.092,79.62686000000001,56.0,2.0,5.344638032237027,2.4729606509518933,1.1612305194503465,2026-08-27 21:48:30.405,是
2020-07-02,辣椒类,66.064,0.0,66.064,669.7044,0.0,669.7044,376.85583,0.0,376.85583,0.0,0.0,66.064,669.7044,376.85583,226,10,2026-08-27 09:21:40.071,2026-08-27 21:33:40.212,10.137206345362074,5.7044052736740145,10.137206345362074,5.7044052736740145,0.0,0.0,0.7770838253981633,4,7,0,0,0,,,,,66.064,669.7044,376.85583,226.0,10.0,10.137206345362074,5.7044052736740145,0.7770838253981633,2026-08-27 21:33:40.212,是
2020-07-02,食用菌,48.51,0.0,48.51,605.929,0.0,605.929,354.74897000000004,0.0,354.74897000000004,0.0,0.0,48.51,605.929,354.74897000000004,160,5,2026-08-27 09:22:45.358,2026-08-27 21:10:11.106,12.490806019377448,7.31290393733251,12.490806019377448,7.31290393733251,0.0,0.0,0.7080500614279441,4,7,0,0,0,,,,,48.51,605.929,354.74897000000004,160.0,5.0,12.490806019377448,7.31290393733251,0.7080500614279441,2026-08-27 21:10:11.106,是
2020-07-03,水生根茎类,9.572000000000001,0.0,9.572000000000001,76.693,0.0,76.693,53.69892,0.0,53.69892,5.162,32.593,4.41,44.1,24.7401,30,1,2026-08-27 09:35:15.630,2026-08-27 21:52:58.958,8.012223150856665,5.609999999999999,10.0,5.61,0.5392812369410781,0.42498011552553694,0.7825311942959001,5,7,15,1,15,0.6,0.6,1.0,1.0,4.41,44.1,24.7401,15.0,1.0,10.0,5.61,0.7825311942959001,2026-08-27 19:08:46.633,是
