日期,品类,P10,P25,P50,P75,P90
2023-07-01,花叶类,3.2529406655685533,3.415187219359203,3.532255503538595,3.6543147523010076,3.8145726678092355
2023-07-02,花叶类,3.2528740699606002,3.410739185495522,3.524805039234517,3.6501067861461474,3.8133837143879536
2023-07-03,花叶类,3.2519104005456247,3.415187219359203,3.527984277911091,3.6513573224294467,3.821176761968343
2023-07-04,花叶类,3.260195934620186,3.415187219359203,3.528694045225504,3.6529676898234453,3.8161985213122915
2023-07-05,花叶类,3.2650747010587,3.415187219359203,3.528694045225504,3.6533178849237338,3.8194345121924753
2023-07-06,花叶类,3.2649916476492553,3.413413278282161,3.528370733463631,3.652710744551558,3.813432956134076
2023-07-07,花叶类,3.2671416427156554,3.415187219359203,3.5282083606746477,3.652710744551558,3.8093946823945304
2023-07-01,花菜类,7.26437068857418,7.614019041224152,7.7638874301473555,7.969215307774636,8.287920586004672
2023-07-02,花菜类,7.285191774011825,7.632374057982972,7.786590420087033,7.995819800544072,8.31286029622553
2023-07-03,花菜类,7.307729039777453,7.658593878633363,7.803371836883684,8.00532324261179,8.330936486017615
2023-07-04,花菜类,7.320401896071467,7.670506150431202,7.81687141258835,8.026142397901737,8.34001721395142
2023-07-05,花菜类,7.321294132157087,7.67466628005581,7.8234978977129765,8.025709343696565,8.348801109370426
2023-07-06,花菜类,7.335773713054728,7.678335087080725,7.8301651979165525,8.034192531459894,8.34759509730315
2023-07-07,花菜类,7.340714654227919,7.687380559800812,7.835925438099084,8.029228050698947,8.340765968803929
2023-07-01,水生根茎类,10.409942822830326,10.632271738643496,10.67925268284548,10.755128830593035,11.011461824933905
2023-07-02,水生根茎类,10.40816550179775,10.633936837376154,10.679353029610171,10.757865671024236,11.03765466145816
2023-07-03,水生根茎类,10.41163625370267,10.63880527747525,10.67925268284548,10.755330795092462,11.011461824933905
2023-07-04,水生根茎类,10.41561695177064,10.637819781783708,10.679683969660424,10.757865671024236,11.03434930773862
2023-07-05,水生根茎类,10.393964859664745,10.632271738643496,10.679222618924811,10.752090146429143,11.010913920402041
2023-07-06,水生根茎类,10.404874629364226,10.637326446200772,10.679836146601517,10.755936688590744,11.019163787011525
2023-07-07,水生根茎类,10.410140302945056,10.637819781783708,10.679526104244335,10.754805642848085,11.010537372858442
2023-07-01,茄类,3.439942937236275,3.7151162023970916,3.9065702730432146,4.097513781910184,4.506209696484783
2023-07-02,茄类,3.428302296894359,3.7150668965604274,3.890159384047494,4.079906194005,4.505943524206751
2023-07-03,茄类,3.4104142110382374,3.685259866825558,3.879533570767568,4.069053511940009,4.529864884312653
2023-07-04,茄类,3.3647588526777166,3.679835161643226,3.8818256418163233,4.068905431353011,4.489116938380301
2023-07-05,茄类,3.4048875500978366,3.6773208731107085,3.8721031481811488,4.056433572570171,4.4438521979077255
2023-07-06,茄类,3.3706222137106265,3.667647835367393,3.863013814915984,4.046934120953104,4.447334198702773
2023-07-07,茄类,3.3792291929623737,3.6637331563469377,3.8610976882673445,4.048523950550405,4.437841163689931
2023-07-01,辣椒类,2.8953166206791217,3.2248095723272026,3.4885509893553324,3.804773393709994,4.240318829729377
2023-07-02,辣椒类,2.8682018155696327,3.2077551799216635,3.4769597403718344,3.7866905994184195,4.218460502330242
2023-07-03,辣椒类,2.8682018155696327,3.223475517165331,3.5010309499397243,3.804243109070487,4.223883718505244
2023-07-04,辣椒类,2.8504071655797234,3.2248095723272026,3.498836738241651,3.807019519345521,4.2105274132640425
2023-07-05,辣椒类,2.865631945434245,3.2229321444854464,3.5032594682849063,3.8056576800459756,4.207039865598492
2023-07-06,辣椒类,2.8660512089311614,3.2244760585367347,3.493755420634043,3.804243109070487,4.195851601289318
2023-07-07,辣椒类,2.8664729398010613,3.2248095723272026,3.494408675067811,3.801692995704611,4.190252972751974
2023-07-01,食用菌,2.6018159090834465,3.098401935446927,3.2394222182601853,3.3644079107893408,3.7438903761226046
2023-07-02,食用菌,2.6608672133094,3.097099097201067,3.240105754204292,3.3655052991742336,3.771521539034805
2023-07-03,食用菌,2.6905004952131524,3.0993564120181816,3.2367920954598146,3.3644079107893408,3.771521539034805
2023-07-04,食用菌,2.6827027084867314,3.095707030730564,3.2352171400031633,3.361836811870986,3.782503553423644
2023-07-05,食用菌,2.633096881449653,3.0946696489167316,3.2394222182601853,3.360547185796298,3.737841430568075
2023-07-06,食用菌,2.633096881449653,3.0993564120181816,3.2374064503291233,3.3732775281694645,3.76611410493062
2023-07-07,食用菌,2.6437202977868335,3.093738617547067,3.2367920954598146,3.374346838817667,3.7600708485801437
