销售日期,品类,当日单品数,单品数,销量集中度HHI,前三单品销量占比,固定篮子覆盖率,当前权重与基准权重距离,前一日销量集中度HHI,前一日前三单品销量占比,前一日当前权重与基准权重距离
2020-07-01,水生根茎类,2.0,2,0.7439907322776067,1.0,0.0,,,,
2020-07-02,水生根茎类,2.0,2,0.8941175803402648,1.0,1.0,0.09463469296279693,0.7439907322776067,1.0,
2020-07-03,水生根茎类,1.0,1,1.0,1.0,0.8953439153439153,0.10465608465608468,0.8941175803402648,1.0,0.09463469296279693
2020-07-04,水生根茎类,2.0,2,0.5101516185749106,1.0,1.0,0.35739886454172165,1.0,1.0,0.10465608465608468
2020-07-05,水生根茎类,1.0,1,1.0,1.0,0.8279185450023318,0.17208145499766828,0.5101516185749106,1.0,0.35739886454172165
2020-07-06,水生根茎类,1.0,1,1.0,1.0,0.8575778368642252,0.14242216313577488,1.0,1.0,0.17208145499766828
2020-07-07,水生根茎类,1.0,1,1.0,1.0,0.8723968339352954,0.12760316606470457,1.0,1.0,0.14242216313577488
2020-07-08,水生根茎类,2.0,2,0.6533446611987932,1.0,0.886044676251587,0.7768976897689769,1.0,1.0,0.12760316606470457
2020-07-09,水生根茎类,1.0,1,1.0,1.0,0.7091677568682702,0.2908322431317299,0.6533446611987932,1.0,0.7768976897689769
2020-07-10,水生根茎类,2.0,2,0.5854937856231377,1.0000000000000002,0.9206527452573232,0.5099022590810263,1.0,1.0,0.2908322431317299
2020-07-11,水生根茎类,2.0,2,0.682797716983456,1.0,0.9344129554655871,0.5170454589393609,0.5854937856231377,1.0000000000000002,0.5099022590810263
2020-07-12,水生根茎类,3.0,3,0.48879497774727976,1.0,1.0,0.4407182440681655,0.682797716983456,1.0,0.5170454589393609
2020-07-13,水生根茎类,2.0,2,0.6450345019142467,1.0,0.9181784733818242,0.36390437280755117,0.48879497774727976,1.0,0.4407182440681655
2020-07-14,水生根茎类,2.0,2,0.7416734286651743,1.0,0.9286243333991705,0.39577149444299686,0.6450345019142467,1.0,0.36390437280755117
2020-07-15,水生根茎类,2.0,2,0.7260520686038051,1.0,0.9355335042925632,0.3460384694794638,0.7416734286651743,1.0,0.39577149444299686
2020-07-16,水生根茎类,2.0,2,0.6360100873835965,1.0,0.941775338603293,0.23711833380658054,0.7260520686038051,1.0,0.3460384694794638
2020-07-17,水生根茎类,2.0,2,0.60394623624675,1.0,0.9471905596960397,0.1822633628105365,0.6360100873835965,1.0,0.23711833380658054
2020-07-18,水生根茎类,2.0,2,0.7324636939037608,1.0,0.9519028407436676,0.2789514616193901,0.60394623624675,1.0,0.1822633628105365
2020-07-19,水生根茎类,2.0,2,0.6486998945229178,1.0,0.9546356810532179,0.19484562009836753,0.7324636939037608,1.0,0.2789514616193901
2020-07-20,水生根茎类,2.0,2,0.606292095928284,1.0,0.9573790551448095,0.1409248723514871,0.6486998945229178,1.0,0.19484562009836753
2020-07-21,水生根茎类,3.0,3,0.48033614523159657,1.0,1.0000000000000002,0.19083487704999524,0.606292095928284,1.0,0.1409248723514871
2020-07-22,水生根茎类,3.0,3,0.47897311983423563,1.0,1.0,0.09553571670127829,0.48033614523159657,1.0,0.19083487704999524
2020-07-23,水生根茎类,3.0,3,0.4743795266757068,1.0,0.9457642016037758,0.6160243329611519,0.47897311983423563,1.0,0.09553571670127829
2020-07-24,水生根茎类,3.0,3,0.5235417712303161,0.9999999999999999,0.9167018080913781,0.18816357351382057,0.4743795266757068,1.0,0.6160243329611519
2020-07-25,水生根茎类,2.0,2,0.7223405041747377,1.0,0.8708042784540835,0.26467030940174285,0.5235417712303161,0.9999999999999999,0.18816357351382057
2020-07-26,水生根茎类,3.0,3,0.39700520601236855,1.0,0.9240193750593597,0.16416017262982574,0.7223405041747377,1.0,0.26467030940174285
2020-07-27,水生根茎类,3.0,3,0.6543986317482337,1.0,0.927801417799658,0.2563407715161974,0.39700520601236855,1.0,0.16416017262982574
2020-07-28,水生根茎类,2.0,2,0.7447098875328402,1.0,0.8734787667981534,0.2584137020397822,0.6543986317482337,1.0,0.2563407715161974
